,0,1,2,3,4,5,6,7,8,9,10
28,4,38.9310577,-114.4216662,24.345,26,1.13,24.05461806,41.93402778,2,0,0.242152831
29,5,38.9310577,-114.4216662,24.925,27,1.02,24.05461806,41.93402778,2,0,0.246499111
30,0,38.6042849,-122.8323792,19.65,63,1.43,20.55701389,60.84722222,2,0,0.242390147
31,1,38.6042849,-122.8323792,20.23,65,1.4,20.55701389,60.84722222,2,0,0.244699561
32,2,38.6042849,-122.8323792,19.51,65,1.54,20.55701389,60.84722222,2,0,0.242583421
33,3,38.6042849,-122.8323792,22.25,62,1.51,20.55701389,60.84722222,2,0,0.242976215
34,4,38.6042849,-122.8323792,22.175,60,1.2,20.55701389,60.84722222,2,0,0.241578086
35,5,38.6042849,-122.8323792,22.535,57,1.05,20.55701389,60.84722222,2,0,0.239171052
36,0,36.7879992,-118.7795466,21.965,30,0.94,21.90527778,33.51736111,2,0,0.284803848
37,1,36.7879992,-118.7795466,23.125,30,0.63,21.90527778,33.51736111,2,0,0.311424807
38,2,36.7879992,-118.7795466,24.885,27,0.55,21.90527778,33.51736111,2,0,0.379731501
39,3,36.7879992,-118.7795466,25.4,26,0.66,21.90527778,33.51736111,2,0,0.392832527
40,4,36.7879992,-118.7795466,23.11,34,0.41,21.90527778,33.51736111,2,0,0.284014873
41,5,36.7879992,-118.7795466,23.285,39,0.32,21.90527778,33.51736111,2,0,0.250851218
42,0,40.3676395,-123.9414301,21.44,61,2.77,18.80364583,67.60416667,3,0,0.386435964
43,1,40.3676395,-123.9414301,22.635,65,1.18,18.80364583,67.60416667,3,0,0.279654695
44,2,40.3676395,-123.9414301,22.945,67,0.68,18.80364583,67.60416667,3,0,0.254045078
45,3,40.3676395,-123.9414301,24.585,64,0.35,18.80364583,67.60416667,3,0,0.244406635
46,4,40.3676395,-123.9414301,24.035,63,0.41,18.80364583,67.60416667,3,0,0.245744708
47,5,40.3676395,-123.9414301,23.31,69,0.17,18.80364583,67.60416667,3,0,0.235450662
48,0,40.2240313,-123.8003114,23.865,52,2.31,20.67440972,60.56597222,3,0,0.451715092
49,1,40.2240313,-123.8003114,25.51,57,0.75,20.67440972,60.56597222,3,0,0.327712854
50,2,40.2240313,-123.8003114,25.775,59,0.52,20.67440972,60.56597222,3,0,0.30941632
51,3,40.2240313,-123.8003114,26.755,58,0.19,20.67440972,60.56597222,3,0,0.296642547
52,4,40.2240313,-123.8003114,25.8,58,0.46,20.67440972,60.56597222,3,0,0.307344266
53,5,40.2240313,-123.8003114,24.805,63,0.14,20.67440972,60.56597222,3,0,0.289282209
54,0,40.3676397,-123.9225407,21.075,64,2.66,18.24368056,71.34375,3,0,0.339808118
55,1,40.3676397,-123.9225407,22.88,65,1.2,18.24368056,71.34375,3,0,0.254723325
56,2,40.3676397,-123.9225407,23.34,66,0.77,18.24368056,71.34375,3,0,0.235126183
57,3,40.3676397,-123.9225407,25.07,64,0.44,18.24368056,71.34375,3,0,0.225788177
58,4,40.3676397,-123.9225407,24.845,62,0.34,18.24368056,71.34375,3,0,0.22193827
59,5,40.3676397,-123.9225407,24.33,67,0.16,18.24368056,71.34375,3,0,0.216002018
60,0,40.3631952,-123.9242073,21.125,63,2.67,18.26458333,71.20833333,3,0,0.340821237
61,1,40.3631952,-123.9242073,22.88,65,1.2,18.26458333,71.20833333,3,0,0.255622329
62,2,40.3631952,-123.9242073,23.32,66,0.76,18.26458333,71.20833333,3,0,0.235391022
63,3,40.3631952,-123.9242073,25.04,64,0.43,18.26458333,71.20833333,3,0,0.226102244
64,4,40.3631952,-123.9242073,24.795,62,0.35,18.26458333,71.20833333,3,0,0.222894149
65,5,40.3631952,-123.9242073,24.26,67,0.17,18.26458333,71.20833333,3,0,0.216793307
