,Tempavg,Humavg,Windavg,Rainavg
53,22.77247023809524,40.145833333333336,2.0,3.0
54,23.31886904761905,39.65178571428572,1.0,4.0
55,22.096220238095235,41.226190476190474,2.0,4.0
56,23.19133928571429,40.764880952380956,2.0,3.0
57,19.460297619047623,44.235119047619044,1.0,3.0
58,22.454255952380958,40.63095238095239,2.0,4.0
59,22.98577380952381,39.99107142857144,2.0,3.0
60,23.013779761904768,39.9345238095238,2.0,3.0
61,22.01023809523809,41.63392857142857,2.0,4.0
62,20.77389880952381,42.18750000000001,1.0,3.0
63,22.521517857142857,40.22619047619048,1.0,3.0
64,22.82815476190476,40.72023809523809,1.0,3.0
65,20.50452380952381,42.25000000000001,2.0,3.0
66,28.626607142857146,35.38690476190475,2.0,0.0
67,24.194047619047616,38.982142857142854,1.0,2.0
68,24.34056547619048,37.51190476190476,1.0,4.0
69,22.38107142857143,39.81547619047619,1.0,2.0
70,20.538660714285715,42.74404761904761,2.0,3.0
71,29.465297619047607,33.38095238095238,1.0,0.0
72,22.41818452380952,41.24999999999999,1.0,2.0
73,29.365059523809524,33.04166666666667,1.0,0.0
74,21.00800595238095,42.73214285714287,1.0,3.0
75,21.719107142857144,39.79464285714287,1.0,2.0
76,22.815714285714296,40.27976190476189,1.0,3.0
77,28.57145833333334,26.729166666666675,2.0,0.0
78,23.431041666666665,39.1845238095238,1.0,4.0
79,22.31145833333334,40.48809523809524,1.0,3.0
80,23.07598214285714,39.3779761904762,1.0,4.0
81,23.73803571428571,39.45833333333333,2.0,3.0
82,21.223184523809525,42.69940476190476,1.0,3.0
83,22.39017857142857,40.538690476190474,2.0,3.0
84,23.93392857142857,39.95833333333333,1.0,3.0
85,22.52461309523809,40.014880952380956,2.0,4.0
86,21.676994047619047,42.21130952380952,1.0,3.0
87,23.124553571428574,41.30059523809524,2.0,3.0
88,22.19794642857143,41.25297619047619,2.0,3.0
89,22.94372023809524,39.65773809523809,2.0,3.0
90,22.308452380952385,41.17857142857143,1.0,2.0
91,22.99752976190477,38.83035714285715,2.0,3.0
92,21.369226190476187,42.40476190476191,1.0,3.0
93,25.74241071428571,35.01190476190476,1.0,1.0
94,25.506488095238094,35.386904761904766,1.0,1.0
95,17.61467261904762,78.34821428571429,2.0,2.0
96,21.83693452380953,41.64583333333333,1.0,3.0
97,21.869970238095238,39.72321428571429,1.0,2.0
98,23.626517857142858,39.160714285714285,2.0,2.0
99,22.49345238095238,39.73214285714285,1.0,2.0
100,22.124464285714282,42.12499999999999,2.0,3.0
101,23.29333333333334,40.67857142857142,2.0,3.0
102,23.75782738095238,39.83928571428572,2.0,3.0
103,21.631458333333335,42.07440476190476,2.0,3.0
104,22.810297619047613,41.57440476190476,2.0,3.0
105,23.06800595238095,39.770833333333336,2.0,3.0
106,23.024791666666662,39.839285714285715,2.0,4.0
107,23.627559523809527,40.85416666666667,2.0,3.0
108,22.984107142857145,40.6875,2.0,3.0
109,22.085773809523808,42.20238095238095,2.0,3.0
110,24.553452380952383,36.25297619047619,2.0,0.0
