,0,1,2,3,4,5,6,7,8,9,10
32,2.0,38.604284899999996,-122.83237920000002,19.12,75.0,1.46,20.66363095238095,65.16369047619048,1.0,0.0,0.24055683427065416
33,3.0,38.604284899999996,-122.83237920000002,19.975,74.0,1.52,20.66363095238095,65.16369047619048,1.0,0.0,0.232323065563416
34,4.0,38.604284899999996,-122.83237920000002,21.74,71.0,1.28,20.66363095238095,65.16369047619048,1.0,0.0,0.23617690780113584
35,5.0,38.604284899999996,-122.83237920000002,22.61,71.0,1.06,20.66363095238095,65.16369047619048,1.0,0.0,0.24570799116616499
36,0.0,36.7879992,-118.7795466,19.205,61.0,0.28,22.506875,38.247023809523796,1.0,0.0,0.14203697062127052
37,1.0,36.7879992,-118.7795466,16.16,56.00000000000001,0.78,22.506875,38.247023809523796,1.0,0.0,0.11578560407391628
38,2.0,36.7879992,-118.7795466,17.59,45.0,0.45,22.506875,38.247023809523796,1.0,0.0,0.10803566926394689
39,3.0,36.7879992,-118.7795466,18.28,41.0,0.16,22.506875,38.247023809523796,1.0,0.0,0.11892027746833035
40,4.0,36.7879992,-118.7795466,18.415,38.0,0.11,22.506875,38.247023809523796,1.0,0.0,0.12383991313040167
41,5.0,36.7879992,-118.7795466,18.155,36.0,0.07,22.506875,38.247023809523796,1.0,0.0,0.12866313403263116
42,0.0,40.3676395,-123.94143009999999,23.79,57.99999999999999,0.5,23.33979166666667,57.11904761904761,2.0,0.0,0.22554141907481254
43,1.0,40.3676395,-123.94143009999999,18.92,64.0,1.38,23.33979166666667,57.11904761904761,2.0,0.0,0.2323974813306636
44,2.0,40.3676395,-123.94143009999999,20.125,76.0,0.83,23.33979166666667,57.11904761904761,2.0,0.0,0.25305557635700343
45,3.0,40.3676395,-123.94143009999999,21.665,76.0,0.63,23.33979166666667,57.11904761904761,2.0,0.0,0.2567160274818329
46,4.0,40.3676395,-123.94143009999999,21.87,75.0,1.19,23.33979166666667,57.11904761904761,2.0,0.0,0.2472956067677392
47,5.0,40.3676395,-123.94143009999999,20.265,75.0,1.64,23.33979166666667,57.11904761904761,2.0,0.0,0.24246936565767602
48,0.0,40.2240313,-123.80031140000001,23.155,63.0,0.46,23.97982142857143,56.54464285714285,1.0,0.0,0.20612292575853727
49,1.0,40.2240313,-123.80031140000001,22.9,52.0,1.04,23.97982142857143,56.54464285714285,1.0,0.0,0.14309688639587642
50,2.0,40.2240313,-123.80031140000001,23.55,64.0,0.56,23.97982142857143,56.54464285714285,1.0,0.0,0.19935517020922033
51,3.0,40.2240313,-123.80031140000001,24.94,63.0,0.5,23.97982142857143,56.54464285714285,1.0,0.0,0.19570410313367206
52,4.0,40.2240313,-123.80031140000001,25.265,63.0,0.91,23.97982142857143,56.54464285714285,1.0,0.0,0.1690063433001909
53,5.0,40.2240313,-123.80031140000001,24.275,63.0,1.3,23.97982142857143,56.54464285714285,1.0,0.0,0.15118297486236457
54,0.0,40.36319520000001,-123.92420729999999,20.525,73.0,0.94,21.570744047619048,65.01785714285714,1.0,0.0,0.26261250196402425
55,1.0,40.36319520000001,-123.92420729999999,20.93,56.00000000000001,1.45,21.570744047619048,65.01785714285714,1.0,0.0,0.19759133629400216
56,2.0,40.36319520000001,-123.92420729999999,22.74,63.0,0.87,21.570744047619048,65.01785714285714,1.0,0.0,0.2372555862614904
57,3.0,40.36319520000001,-123.92420729999999,24.0,63.0,0.68,21.570744047619048,65.01785714285714,1.0,0.0,0.2412671074053209
58,4.0,40.36319520000001,-123.92420729999999,24.005,62.0,1.15,21.570744047619048,65.01785714285714,1.0,0.0,0.20549119794502918
59,5.0,40.36319520000001,-123.92420729999999,22.545,63.0,1.54,21.570744047619048,65.01785714285714,1.0,0.0,0.1939977943838377
60,0.0,40.2779191,-123.8500366,22.705,65.0,0.61,23.56315476190476,57.98809523809523,1.0,0.0,0.21292744428611957
61,1.0,40.2779191,-123.8500366,22.31,54.0,1.17,23.56315476190476,57.98809523809523,1.0,0.0,0.15187012170159275
62,2.0,40.2779191,-123.8500366,23.325000000000006,65.0,0.64,23.56315476190476,57.98809523809523,1.0,0.0,0.20672271457841607
63,3.0,40.2779191,-123.8500366,24.815,65.0,0.53,23.56315476190476,57.98809523809523,1.0,0.0,0.2071650432498516
64,4.0,40.2779191,-123.8500366,25.015,64.0,1.01,23.56315476190476,57.98809523809523,1.0,0.0,0.17312578488020738
65,5.0,40.2779191,-123.8500366,23.73,65.0,1.41,23.56315476190476,57.98809523809523,1.0,0.0,0.1592627130578059
66,0.0,38.4654692,-122.97749840000002,19.845,79.0,0.65,18.992916666666673,70.35714285714285,1.0,0.0,0.31539034078639194
67,1.0,38.4654692,-122.97749840000002,17.48,78.0,1.72,18.992916666666673,70.35714285714285,1.0,0.0,0.24742560028872843
68,2.0,38.4654692,-122.97749840000002,17.325,83.0,1.55,18.992916666666673,70.35714285714285,1.0,0.0,0.24828826757590197
69,3.0,38.4654692,-122.97749840000002,17.93,83.0,1.6,18.992916666666673,70.35714285714285,1.0,0.0,0.24512119088866707
70,4.0,38.4654692,-122.97749840000002,19.72,79.0,1.25,18.992916666666673,70.35714285714285,1.0,0.0,0.27086643270204114
71,5.0,38.4654692,-122.97749840000002,20.83,78.0,1.14,18.992916666666673,70.35714285714285,1.0,0.0,0.2757504749523947
72,0.0,36.7577225,-118.83177020000001,17.384999999999998,64.0,0.42,20.11241071428572,40.62499999999999,2.0,0.0,0.2268952096047586
